numero,denominacion,direccion,localidad_barrio,municipio,estado_actual,CARACTERISTICAS,clasificacion,COORDENADAS,sup_estimada_predio,sup_afectada,Vol (m3)  JUN-10,Vol (m3)  JUL-10,ESTADO DE OBRA,FECHA DE INICIO,FECHA DE FINALIZACION,DISPOSICION FINAL,OBSERVACION,TIPO DE RESIDUO,Urbanos  (%),Peligrosos (%),Poda  (%),Patogénicos (%),Escombros (%),categoria,partido,location,semaforo_riesgo,id,erradicado
1,Molinos,Ameghino sigue como Pelegrini y costa del Riachuelo.,Avellaneda,Avellaneda,4250.12 toneladas retiradas,ERREDICADO,No consolidado,34º 39' 16'' S  58º 22' 06'' W,700,25,2,0,FINALIZADO,12/2/2008,1/23/2009,CELDAS DE SEGURIDAD SEGÚN PLIEGO DE LIC. Nº 12/07 EXP. 3299/07,El Sitio se encuenbtra con mantenimiento por parte del Municipio,RSU,,,,,,BASURALES ERRADICADOS - ESPACIOS RECUPERADOS,Avellaneda,-34.654444444444444 -58.36833333333333,0,0,
2,Santa Catalina A,Ruta Pcial Nº 4 interseccion Av Elizalde,Barrio 9 de Abril,Esteban Echeverría,31962.37 toneladas retiradas,ERREDICADO,Consolidado,34º 46' 30'' S  58º 27' 56'' W,50000,0,0,0,FINALIZADO,12/6/2008,8/5/2009,CELDAS DE SEGURIDAD SEGÚN PLIEGO DE LIC. Nº 12/07 EXP. 3299/07,El sitio se encuentrta custodiado las 24 hs,RSU,,,,,,BASURALES ERRADICADOS - ESPACIOS RECUPERADOS,Esteban Echeverría,-34.775 -58.465555555555554,0,1,
3,Santa Catalina B,M. Paz 1900,Barrio 9 de Abril,Esteban Echeverría,353.7 toneladas retiradas,ERREDICADO,Consolidado con asentamiento,34º 45' 50'' S  58º 28' 25'' W,12000,20,10,5,FINALIZADO,7/8/2009,7/29/2009,CELDAS DE SEGURIDAD SEGÚN PLIEGO DE LIC. Nº 12/07 EXP. 3299/07,El Sitio se encuenbtra con mantenimiento por parte del Municipio,RSU,,,,,,BASURALES ERRADICADOS - ESPACIOS RECUPERADOS,Esteban Echeverría,-34.763888888888886 -58.47361111111111,0,2,1
4,Ruta Pcial. 21 B,"Antartida Argentina y Ruta Pcial 21,  margen del Aº Don Mario",Isidro Casanova,La Matanza,22.78 toneladas retiradas,ERREDICADO,Consolidado,34º 44' 18'' S  58º 33' 48'' W,2000,0,0,0,FINALIZADO,10/13/2009,10/25/2009,CELDAS DE SEGURIDAD SEGÚN PLIEGO DE LIC. Nº 12/07 EXP. 3299/07,Predio custodiado con emplazamientop de obra de Planta de Bobeo- AySA,RSU,,,,,,BASURALES ERRADICADOS - ESPACIOS RECUPERADOS,La Matanza,-34.73833333333333 -58.56333333333333,0,3,
5,Don Juan B,Tuyu intersección Recuero,G. de la Laferrere,La Matanza,93 toneladas retiradas,ERREDICADO,No consolidado con asentamiento,34º 46' 06'' S  58º 34' 14'' W,3000,15,1,0,FINALIZADO,9/30/2009,10/6/2009,CELDAS DE SEGURIDAD SEGÚN PLIEGO DE LIC. Nº 12/07 EXP. 3299/07,El Sitio se encuenbtra con mantenimiento por parte del Municipio,RSU,,,,,,BASURALES ERRADICADOS - ESPACIOS RECUPERADOS,La Matanza,-34.76833333333333 -58.57055555555556,0,4,
6,San Cayetano A,Tuyu intersección Russo,Gonzales Catán,La Matanza,67.04 toneladas retiradas,CON ARROJO,No consolidado con asentamiento,34º 46' 34'' S  58º 35' 16'' W,6000,20,15,5,FINALIZADO,9/22/2009,9/23/2009,CELDAS DE SEGURIDAD SEGÚN PLIEGO DE LIC. Nº 12/07 EXP. 3299/07,El Sitio se encuenbtra con mantenimiento por parte del Municipio,RSU,,,,,,BASURALES ERRADICADOS - ESPACIOS RECUPERADOS,La Matanza,-34.77611111111111 -58.58777777777778,0,5,
7,San Cayetano B,Tuyu intersección Russo,Gonzales Catán,La Matanza,20.42 toneladas retiradas,ERREDICADO,No consolidado con asentamiento,34º 46' 39'' S  58º 35' 21'' W,4000,5,1,0,FINALIZADO,9/24/2009,9/25/2009,CELDAS DE SEGURIDAD SEGÚN PLIEGO DE LIC. Nº 12/07 EXP. 3299/07,El Sitio se encuenbtra con mantenimiento por parte del Municipio,RSU,,,,,,BASURALES ERRADICADOS - ESPACIOS RECUPERADOS,La Matanza,-34.7775 -58.589166666666664,0,6,
8,Calderón de la Barca IV A (foco 5),Calle San Matías s/n,González Catán,La Matanza,1976.94 toneladas retiradas,ERREDICADO,Consolidado,34º 44' 16'' S  58º 38' 27'' W,10000,30,1,0,FINALIZADO,2/18/2009,4/1/2009,CELDAS DE SEGURIDAD SEGÚN PLIEGO DE LIC. Nº 12/07 EXP. 3299/07,Predio Privado y cercado,RSU,,,,,,BASURALES ERRADICADOS - ESPACIOS RECUPERADOS,La Matanza,-34.73777777777778 -58.64083333333333,0,7,
9,Calderón de la barca IV B (Foco7-8),Calle San Matías s/n,Gonzales Catán,La Matanza,1281.62 toneladas retiradas,ERREDICADO,Consolidado,34º 44' 03'' S  58º 38' 44'' W,10000,30,1,0,FINALIZADO,8/20/2009,9/16/2009,CELDAS DE SEGURIDAD SEGÚN PLIEGO DE LIC. Nº 12/07 EXP. 3299/07,Predio Privado y cercado,RSU,,,,,,BASURALES ERRADICADOS - ESPACIOS RECUPERADOS,La Matanza,-34.73416666666667 -58.64555555555555,0,8,
10,Rooselvet A,Sobre la Calle  San Martín y su continuación  f. D. Roosevelt,Villa Madero,La Matanza,149.47 toneladas retiradas,ERREDICADO,Consolidado,34º 42' 02'' S  58º 28' 56'' W,500,0,0,1,FINALIZADO,1/22/2009,2/7/2009,CELDAS DE SEGURIDAD SEGÚN PLIEGO DE LIC. Nº 12/07 EXP. 3299/07,Predio Privado y cercado con construccion civil,RSU,,,,,,BASURALES ERRADICADOS - ESPACIOS RECUPERADOS,La Matanza,-34.70055555555555 -58.48222222222222,0,9,
11,Rooselvet B,Sobre la Calle  San Martín y su continuación  f. D. Roosevelt,Villa Madero,La Matanza,4196.49 toneladas retiradas,CON ARROJO,Consolidado,34º 42' 10'' S  58º 29' 09'' W,12000,40,5,7,FINALIZADO,12/22/2008,2/16/2009,CELDAS DE SEGURIDAD SEGÚN PLIEGO DE LIC. Nº 12/07 EXP. 3299/07,El Sitio se encuenbtra con mantenimiento por parte del Municipio,RSU,,,,,,BASURALES ERRADICADOS - ESPACIOS RECUPERADOS,La Matanza,-34.702777777777776 -58.48583333333333,0,10,
12,Barrio San Martin,Av. San Martin entre Salcedo y Sargento Cabral,Lomas del Mirador,La Matanza,70 toneladas retiradas,ERRADICADO,No consolidado,,5000,0,0,0,FINALIZADO,11/13/2008,3/14/2009,Relleno Sanitario,El Sitio se encuenbtra con mantenimiento por parte del Municipio,RSU,,,,,,BASURALES ERRADICADOS - ESPACIOS RECUPERADOS,La Matanza,,0,11,
13,Monte Chingolo,"Gral Pinto y Cnl Chilavert, a metros de la estación Chingolo",Monte Chingolo,Lanús,95 toneladas retiradas,ERRADICADO,No consolidado,34º 43' 55'' S  58º 20' 59'' W,4000,0,0,0,FINALIZADO,11/13/2008,2/8/2009,Relleno Sanitario,El Sitio se encuenbtra con mantenimiento por parte del Municipio,RSU,,,,,,BASURALES ERRADICADOS - ESPACIOS RECUPERADOS,Lanús,-34.731944444444444 -58.34972222222222,0,12,
14,Camino de La Ribera Sur,Camino de la Ribera Sur  interseccion Hornos,Fiorito-Caraza,Lomas / Lanus,7176.54 toneladas retiradas,LIMPIEZA DE MARGENES,Consolidado,"34º 41' 24,61'' S  58º 26' 50,80'' W",8000,6000,1,10,EN PROCESO DE  MANTENIMIENTO,6/26/2009,en ejecucion,CELDAS DE SEGURIDAD SEGÚN PLIEGO DE LIC. Nº 12/07 EXP. 3299/07,Se intervino en una primera etapa dentro el pliego N| 12/07 para retiro de residuos peligrosos.Dentro de la segunda etapa se encuentra saneado con Cooperatovas de AySA retirando R.S.U. Con disposicion final en Relleno Sanitario,RSU,,,,,,BASURALES ERRADICADOS - ESPACIOS RECUPERADOS,,-34.69016944444444 -58.44744444444444,0,13,1
15,El Santuario,Calle Gaspar Nuñez de Arce y Recondo,Villa Fiorito,Lomas de Zamora,"19,276,60 toneladas retiradas",CON ARROJO,Consolidado,"34º 42' 52,08'' S  58º 26' 50,02'' W",30000,150,40,0,FINALIZADO,7/12/2008,11/6/2008,Relleno Sanitario,El Sitio se encuenbtra con mantenimiento por parte del Municipio,RSU,,,,,,BASURALES ERRADICADOS - ESPACIOS RECUPERADOS,Lomas de Zamora,-34.71446666666667 -58.447227777777776,0,14,
16,Barrio Arzeno,Av. Monte Verde y calle Prieto,Adrogue,Almirante Brown,Sin residuos de vuelco contenido con ecopunto,ERRADICADO,Consolidado,-34.827267 -58.418428,10000,0,0,0,FINALIZADO,7/16/2009,12/20/2009,Relleno Sanitario,SANEADO POR EL MUNICIPIO SE ENCUENTRRA EN PROCESO DE MANTENIMIENTO-. El sitio se encuentrta con ECOPUNTO y custodia las 24 hs,RSU,,,,,,BASURALES ERRADICADOS - ESPACIOS RECUPERADOS,Almirante Brown,-34.827267 -58.418428,0,15,
17,Barrio San Jose A,El Picaflor y Bouchard,Barrio San Jose,Almirante Brown,En proceso de limpieza por parte del municipio,ESTATICO   INCLUIDO EN EL PLAN DE LIMPIEZA DE MICRO BASURALES EXP. Nº 582/09,Consolidado con asentamiento,"34º 46' 24,85'' S  58º 20' 17,59'' W",15000,15000,0,0,FINALIZADO,7/16/2009,12/20/2009,Relleno Sanitario,SANEADO POR EL MUNICIPIO SE ENCUENTRRA EN PROCESO DE MANTENIMIENTO-. El sitio se encuentrta con ECOPUNTO y custodia las 24 hs,RSU,,,,,,BASURALES ERRADICADOS - ESPACIOS RECUPERADOS,Almirante Brown,-34.77356944444445 -58.33821944444445,0,16,
18,Aº del Rey I,Monteverde entre Prieto y Algarrobo,Burzaco,Almirante Brown,Ubicado sobre la banquina ruta 4,DINAMICO   INCLUIDO EN EL PLAN DE LIMPIEZA DE MICRO BASURALES EXP. Nº 582/09,No consolidado,"34º49'37,22"" S 58º25'11,60"" O",20000,1500,0,0,FINALIZADO,7/16/2009,12/20/2009,Relleno Sanitario,ERRADICADO,RSU,,,,,,BASURALES ERRADICADOS - ESPACIOS RECUPERADOS,Almirante Brown,-34.82700555555556 -58.41988888888889,0,17,
19,Arroyo Ortega II,Dolores y Delorenzi,Monte Grande,Esteban Echeverría,Activo-,ERRADICADO,No consolidado,"34º51'17,06"" S 58º28'08,40"" O",100,100,0,0,FINALIZADO,5/21/2010,6/8/2010,Relleno Sanitario,SANEADO SE ENCUENTRRA EN PROCESO DE MANTENIMIENTO-,RSU,,,,,,BASURALES ERRADICADOS - ESPACIOS RECUPERADOS,Esteban Echeverría,-34.85473888888889 -58.469,0,18,
20,Camino Real,Camino Real interseccion Garcia Fernandez,Ezeiza,Ezeiza,Ubicado sobre predio privado y via publica,ACTIVO NO CONSOLIDADO,No consolidado,"34º48'06,98""S  58º33'47,13""O",700,700,0,0,MANTENIMIENTO,-0,-0,Relleno Sanitario,SANEADO SE ENCUENTRRA EN PROCESO DE MANTENIMIENTO-,RSU,,,,,,BASURALES ERRADICADOS - ESPACIOS RECUPERADOS,Ezeiza,-34.80193888888889 -58.563091666666665,0,19,
8,Ministro Rivadavia I,Rinaldi y 25 de Mayo,Claypole,Almirante Brown,Volumen dinamico el predio se encuentra semi cercado,DINAMICO  INCLUIDO EN EL PLAN DE LIMPIEZA DE MICRO BASURALES EXP. Nº 582/09,No consolidado,"34º49'25,33""S 58º20'17,98""O",2500,2000,20,30,,,,,SANEADO POR EL MUNICIPIO SE ENCUENTRRA EN PROCESO DE MANTENIMIENTO-,,40,0,0,0,60,BASURALES SANEADOS CON MANTENIMIENTO,Almirante Brown,-34.823702777777775 -58.33832777777778,0,60,
9,Don Orione,RPN 4 interseccion Zelaya,Don Orione,Almirante Brown,Predio privado,ACTIVO-DINAMICO,No consolidado,"34º49'11,52"" S 58º21'27,61"" O",2500,2000,80,10,,,,,SANEADO POR EL MUNICIPIO SE ENCUENTRRA EN PROCESO DE MANTENIMIENTO-,,80,0,20,0,0,BASURALES SANEADOS CON MANTENIMIENTO,Almirante Brown,-34.81986666666667 -58.35766944444445,0,61,
10,Cementerio,R. Calzada interseccion H. Primo,Claypole,Almirante Brown,Ubicado lindero a las vias del ferrocarril.,ACTIVO-DINAMICO,No consolidado,"34º47'56,95"" S 58º20'49,11"" O",250,200,60,10,,,,,SANEADO POR EL MUNICIPIO SE ENCUENTRRA EN PROCESO DE MANTENIMIENTO- El sitio se encuentrta con ECOPUNTO y custodia las 24 hs,,80,0,20,0,0,BASURALES SANEADOS CON MANTENIMIENTO,Almirante Brown,-34.79915277777778 -58.346975,0,62,
11,Acceso Sudeste  1,Gongora y Autopista Bs. As.-La Plata,Dock Sud,Avellaneda,Ubicado bajo la autopista,ACTIVO-DINAMICO,No consolidado,"34º39'27,38""S 58º21'00,46""O",2500,250,20,3,,,,,SANEADO POR EL MUNICIPIO SE ENCUENTRRA EN PROCESO DE MANTENIMIENTO-,,15,0,0,0,85,BASURALES SANEADOS CON MANTENIMIENTO,Avellaneda,-34.657605555555556 -58.35012777777778,0,63,
12,Acceso Sudeste  2,25 de mayo y Autopista Bs. As. La Plata,Dock Sud,Avellaneda,Ubicado bajo la autopista,ACTIVO-DINAMICO,No consolidado,"34º39'36,65""S 58º20'54,11""O",2500,250,6,2,,,,,SANEADO POR EL MUNICIPIO SE ENCUENTRRA EN PROCESO DE MANTENIMIENTO-,,50,0,20,0,30,BASURALES SANEADOS CON MANTENIMIENTO,Avellaneda,-34.660180555555556 -58.34836388888889,0,64,
13,Baliza Chiriguano,Baliza chiriguano y Villegas,Monte Grande,Esteban Echeverría,Activo ubicado en zona rural,INCLUIDO EN EL PLAN DE LIMPIEZA DE MICRO BASURALES EXP. Nº 580/09,No consolidado,"34º51'16,14"" S 58º27'49,41"" O",150,100,2,0,,,,,SANEADO SE ENCUENTRRA EN PROCESO DE MANTENIMIENTO-,,0,0,0,0,0,BASURALES SANEADOS CON MANTENIMIENTO,Esteban Echeverría,-34.854483333333334 -58.463725,0,65,1
14,Amat,Moreno entre calles Alvear y Amat,Monte Grande,Esteban Echeverría,Ubicado en la via publica,ACTIVO   INCLUIDO EN EL PLAN DE LIMPIEZA DE MICRO BASURALES EXP. Nº 580/09,No consolidado,"34º49'0,67""S 58º27'19,97""O",3000,3000,0,25,,,,,SANEADO SE ENCUENTRRA EN PROCESO DE MANTENIMIENTO-,,0,0,0,0,0,BASURALES SANEADOS CON MANTENIMIENTO,Esteban Echeverría,-34.816852777777775 -58.45554722222222,0,66,
15,Barrio Parque La Celia,Calle La Atomica interseccion del Rio Matanza,Ezeiza,Ezeiza,Ubicado sobre predio privado y via publica,ACTIVO NO CONSOLIDADO,No consolidado,"34º48'43,18""S  58º36'12,32""O",800,800,5,5,,,,,SANEADO SE ENCUENTRRA EN PROCESO DE MANTENIMIENTO-,,5,0,35,0,60,BASURALES SANEADOS CON MANTENIMIENTO,Ezeiza,-34.811994444444444 -58.60342222222222,0,67,
16,Cristiania,Cristiania entre Ruta 21 y Alelis,I. Casanova,La Matanza,"Ubicado entre la poblacion con alta incidencia a la misma, via publica",ACTIVO NO CONSOLIDADO,No consolidado,"34º43'42,89"" S 58º33'36,35"" O",1000,700,100,80,,,,,SANEADO SE ENCUENTRRA EN PROCESO DE MANTENIMIENTO-,,100,0,0,0,0,BASURALES SANEADOS CON MANTENIMIENTO,La Matanza,-34.72858055555555 -58.560097222222225,0,68,
17,Rotonda Querandí,El Hornero y El Pindo (plano 121),Barrio Roggio,La Matanza,Microbasural sobre via publica con conservacion periodica  del municipio,DINAMICO,No consolidado,"34º 43' 18,12S  58º 32' 12,55'' W",4000,1000,100,10,,,,,SANEADO SE ENCUENTRRA EN PROCESO DE MANTENIMIENTO-,,100,0,0,0,0,BASURALES SANEADOS CON MANTENIMIENTO,La Matanza,-34.7217 -58.53681944444445,0,69,
18,El Vesubio,Ruta 4 altura entrada Ciudad Evita,Ciudad Evita,La Matanza,Dinamico,INCLUIDO EN EL PLAN DE LIMPIEZA DE MICRO BASURALES EXP. Nº 579/09,No consolidado,"34º43'2,02""S 58º31'8,78""O",20000,300,15,15,,,,,SANEADO SE ENCUENTRRA EN PROCESO DE MANTENIMIENTO-,,100,0,0,0,0,BASURALES SANEADOS CON MANTENIMIENTO,La Matanza,-34.71722777777778 -58.519105555555555,0,70,
19,Virrey del Pino,Calle s/n entre Urien y  Cipolletti,Virrey del Pino,La Matanza,Ubicado sobre margenes del rio matanza y curso de agua,DINAMICO   INCLUIDO EN EL PLAN DE LIMPIEZA DE MICRO BASURALES EXP. Nº 579/09,No consolidado con asentamiento,34º50' 53.01''S   58º 37'47.43''W,700,700,0,0,,,,,SANEADO SE ENCUENTRRA EN PROCESO DE MANTENIMIENTO-,,0,0,0,0,0,BASURALES SANEADOS CON MANTENIMIENTO,La Matanza,-34.848058333333334 -58.629841666666664,0,71,
20,Barrio Roggio I,Calle Pindo e Intendente Crovara,Ciudad Evita,La Matanza,"Microbasural dinamico, formado por los vecinos de la zona, donde se encuetran  situados  canastos que se ven saturados por no ser debidamente vaciados por el servicio de recoleccion del municipio.",DINAMICO / ESTATICO  INCLUIDO EN EL PLAN DE LIMPIEZA DE MICRO BASURALES EXP. Nº 579/09,No consolidado,34º 42' 40'' S  58º 33' 23'' W,4000,4000,50,20,,,,,SANEADO SE ENCUENTRRA EN PROCESO DE MANTENIMIENTO-,,0,0,0,0,0,BASURALES SANEADOS CON MANTENIMIENTO,La Matanza,-34.71111111111111 -58.55638888888889,0,72,1
21,Bº Costa Azul,Conde entre Equiza y Rio Matanza,Isidro casanova,La Matanza,Estatico con asentamientos,INCLUIDO EN EL PLAN DE LIMPIEZA DE MICRO BASURALES EXP. Nº 579/09,No consolidado,"34º48'3,79""S 58º36'14,61""O",160000,160000,2,30,,,,,SANEADO SE ENCUENTRRA EN PROCESO DE MANTENIMIENTO-,,0,0,0,0,0,BASURALES SANEADOS CON MANTENIMIENTO,La Matanza,-34.80105277777778 -58.604058333333334,0,73,
